ticker,name,exchange,yf_symbol
20MICRONS.NS,20 Microns Limited,NSE,20MICRONS.NS
21STCENMGM.NS,21st Century Management Services Limited,NSE,21STCENMGM.NS
360ONE.NS,360 ONE WAM LIMITED,NSE,360ONE.NS
3BBLACKBIO.NS,3B Blackbio Dx Limited,NSE,3BBLACKBIO.NS
3IINFOLTD.NS,3i Infotech Limited,NSE,3IINFOLTD.NS
3MINDIA.NS,3M India Limited,NSE,3MINDIA.NS
3PLAND.NS,3P Land Holdings Limited,NSE,3PLAND.NS
500012.BO,ANDHRA PETROCHEMICALS LTD.,BSE,ANDHRAPET.BO
500014.BO,UTIQUE ENTERPRISES LIMITED,BSE,UTIQUE.BO
500016.BO,ARUNA HOTELS LTD.,BSE,ARUNAHTEL.BO
500028.BO,ATV PROJECTS INDIA LTD.,BSE,ATVPR.BO
500058.BO,BIHAR SPONGE IRON LTD.,BSE,BIHSPONG.BO
500069.BO,QUEST CAPITAL MARKETS LIMITED,BSE,QUESTCAP.BO
500124.BO,DR.REDDYS LABORATORIES LTD.,BSE,DRREDDY.BO
500142.BO,FGP LTD.,BSE,FGP.BO
500143.BO,PH CAPITAL LTD.,BSE,PHCAP.BO
500166.BO,GOODRICKE GROUP LTD.,BSE,GOODRICKE.BO
500170.BO,GTN INDUSTRIES LTD.,BSE,GTNINDS.BO
500192.BO,PRAG BOSIMI SYNTHETICS LTD.,BSE,PRAGBOS.BO
500202.BO,INDIA LEASE DEVELOPMENT LTD.,BSE,INDLEASE.BO
500206.BO,MARGO FINANCE LIMITED,BSE,MARGOFIN.BO
500213.BO,INTERNATIONAL TRAVEL HOUSE LTD,BSE,ITHL.BO
500220.BO,JASCH INDUSTRIES LTD.,BSE,JASCH.BO
500231.BO,UMANG DAIRIES LTD.,BSE,UMANGDAIRY.BO
500236.BO,KANEL INDUSTRIES LIMITED,BSE,KANELIND.BO
500239.BO,KG DENIM LTD.,BSE,KGDENIM.BO
500240.BO,KINETIC ENGINEERING LTD.,BSE,KINETICENG.BO
500246.BO,ENVAIR ELECTRODYNE LTD.,BSE,ENVAIREL.BO
500248.BO,KRISHNA FILAMENT INDUSTRIES LI,BSE,KRIFILIND.BO
500270.BO,BARODA RAYON CORPORATION LTD.,BSE,BARODARY.BO
500277.BO,MID INDIA INDUSTRIES LTD.,BSE,MIDINDIA.BO
500285.BO,SPICEJET LTD.,BSE,SPICEJET.BO
500298.BO,Naperol Investments Limited,BSE,NAPEROL.BO
500302.BO,PIRAMAL ENTERPRISES LTD.,BSE,PEL.BO
500319.BO,INDIAN SUCROSE LTD.,BSE,INDSUCR.BO
500322.BO,PANYAM CEMENTS & MINERAL INDUS,BSE,PANCM.BO
500346.BO,PUNJAB COMMUNICATIONS LTD.,BSE,PUNJCOMMU.BO
500357.BO,RAMA PAPER MILLS LTD.,BSE,RAMAPPR-B.BO
500360.BO,RAPICUT CARBIDES LTD.,BSE,RAPICUT.BO
500370.BO,SALORA INTERNATIONAL LTD.,BSE,SALORAINTL.BO
500388.BO,SHREE KRISHNA PAPER MILLS & IN,BSE,SKPMIL.BO
500421.BO,TPI INDIA LTD.,BSE,TPINDIA.BO
500422.BO,TRANSCHEM LTD.,BSE,TRANSCHEM.BO
500426.BO,UTL INDUSTRIES LIMITED,BSE,UTLINDS.BO
500449.BO,HINDUSTAN ORGANIC CHEMICALS LT,BSE,HOCL.BO
500450.BO,MPIL CORPORATION LTD.,BSE,MPILCORPL.BO
500458.BO,Kore Foods Limited,BSE,KORE.BO
500500.BO,HINDUSTAN MOTORS LTD.,BSE,HINDMOTORS.BO
501148.BO,DALAL STREET INVESTMENTS LTD.,BSE,DSINVEST.BO
501301.BO,TATA INVESTMENT CORPORATION LT,BSE,TATAINVEST.BO
501311.BO,JAYABHARAT CREDIT LTD.,BSE,JAYBHCR.BO
501370.BO,WALCHAND PEOPLEFIRST LTD.,BSE,WALCHPF.BO
501430.BO,BOMBAY CYCLE & MOTOR AGENCY LT,BSE,BOMBCYC.BO
501477.BO,MULLER & PHIPPS (INDIA) LTD.,BSE,MULLER.BO
501622.BO,AMALGAMATED ELECTRICITY CO.LTD,BSE,AMALGAM.BO
501700.BO,INDIANIVESH LTD.,BSE,INDIANVSH.BO
501833.BO,CHOWGULE STEAMSHIPS LTD.,BSE,CHOWGULSTM.BO
501848.BO,GLOBAL OFFSHORE SERVICES LTD.,BSE,GLOBOFFS.BO
502015.BO,ASI INDUSTRIES LIMITED,BSE,ASIIL.BO
502133.BO,HEMADRI CEMENTS LTD.,BSE,HEMACEM.BO
502250.BO,LERTHAI FINANCE LIMITED,BSE,LERTHAI.BO
